                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9714,                 4.1742,                 1.6502,                0.00278,                0.42553,                0.00592,                0.00299,                  1.757,                 4.1398,                 1.4554,                  8e-05,                  8e-05,                  8e-05
                      2,                  1.725,                  3.756,                  1.461,                0.00403,                0.61702,                0.10786,                0.06888,                 1.2718,                  3.682,                 1.1598,             0.00017941,             0.00017941,             0.00017941
                      3,                 1.5551,                 3.0826,                 1.3292,                0.00431,                0.65957,                0.26224,                0.14567,                 1.4638,                 3.3667,                 1.1216,             0.00027815,             0.00027815,             0.00027815
                      4,                 1.4494,                 2.4192,                 1.1641,                0.00472,                 0.7234,                0.34693,                0.17265,                 1.4158,                 3.3984,                 1.0859,             0.00037624,             0.00037624,             0.00037624
                      5,                 1.4522,                 2.2186,                 1.1696,                0.00458,                0.70213,                0.29402,                0.14651,                  1.404,                  3.373,                 1.1189,             0.00047366,             0.00047366,             0.00047366
                      6,                 1.4931,                 2.2928,                 1.2194,                0.00444,                0.68085,                0.23502,                0.14047,                 1.5421,                 3.3432,                  1.162,             0.00057043,             0.00057043,             0.00057043
                      7,                 1.5813,                 2.2303,                  1.242,                0.00486,                0.74468,                0.25047,                0.14244,                 1.5263,                 3.4341,                 1.1416,             0.00066654,             0.00066654,             0.00066654
                      8,                 1.4365,                 2.0824,                 1.2007,                 0.3454,                0.40426,                0.34314,                0.17564,                 1.4852,                 3.3799,                 1.1139,             0.00076198,             0.00076198,             0.00076198
                      9,                  1.515,                 2.0753,                 1.2516,                0.00528,                0.80851,                0.27659,                0.16708,                 1.4389,                 3.3854,                 1.1136,             0.00085677,             0.00085677,             0.00085677
                     10,                 1.4943,                 1.9193,                 1.1717,                0.00542,                0.82979,                0.25574,                0.16503,                 1.4995,                  3.281,                 1.1227,             0.00095089,             0.00095089,             0.00095089
                     11,                 1.4833,                 1.7072,                 1.1968,                      1,                0.14469,                0.52142,                0.28151,                 1.5336,                 2.9599,                 1.1495,              0.0010444,              0.0010444,              0.0010444
                     12,                 1.4203,                 1.8128,                 1.1707,                0.83602,                0.12766,                0.22942,                0.14258,                 1.5968,                  3.003,                 1.2182,              0.0011372,              0.0011372,              0.0011372
                     13,                 1.4148,                 1.8729,                 1.1635,                 0.2571,                0.10638,                 0.1262,                0.07508,                 1.6425,                 3.0261,                 1.2148,              0.0012293,              0.0012293,              0.0012293
                     14,                  1.503,                 1.7498,                 1.1832,                0.55884,                0.37745,                0.42166,                0.23471,                   1.58,                 2.7207,                 1.1678,              0.0013208,              0.0013208,              0.0013208
                     15,                 1.6059,                 1.8711,                 1.2045,                 0.7663,                0.42553,                 0.4895,                0.25987,                 1.6433,                 2.7371,                 1.2101,              0.0014116,              0.0014116,              0.0014116
                     16,                 1.4309,                 1.7443,                 1.1626,                0.49448,                0.39557,                0.36425,                0.20245,                 1.6201,                 2.6646,                 1.1972,              0.0015018,              0.0015018,              0.0015018
                     17,                  1.436,                 1.6463,                 1.1863,                0.35134,                0.29787,                0.25177,                0.11948,                 1.6687,                 2.7478,                 1.2288,              0.0015913,              0.0015913,              0.0015913
                     18,                 1.4022,                  1.594,                 1.1656,                0.40465,                0.34043,                0.32886,                0.17234,                 1.6507,                 2.7644,                 1.2852,              0.0016801,              0.0016801,              0.0016801
                     19,                 1.4418,                 1.7599,                 1.2534,                0.46888,                0.34043,                0.29688,                0.16526,                 1.6697,                 3.0711,                 1.3083,              0.0017683,              0.0017683,              0.0017683
                     20,                 1.5587,                 1.6385,                 1.2349,                0.76126,                0.33927,                0.38797,                0.22876,                  1.572,                 2.5997,                 1.2731,              0.0018559,              0.0018559,              0.0018559
                     21,                 1.4461,                 1.5711,                 1.2517,                0.94083,                0.33841,                0.44174,                 0.2696,                 1.5847,                 2.3449,                  1.287,               0.001868,               0.001868,               0.001868
                     22,                 1.5368,                 1.6229,                 1.2885,                0.87702,                0.34043,                0.43089,                0.26245,                 1.5974,                 2.3796,                 1.2627,               0.001868,               0.001868,               0.001868
                     23,                 1.5956,                 1.7374,                 1.3261,                0.78762,                0.34043,                0.41673,                0.22642,                 1.5954,                  2.309,                 1.3019,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.5073,                  1.625,                 1.2623,                0.58329,                0.48936,                0.43577,                0.24461,                  1.767,                 2.2889,                  1.434,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.3942,                 1.5492,                 1.2129,                0.62845,                0.43199,                0.43243,                 0.2353,                 1.7403,                 2.2901,                 1.3754,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.3934,                 1.4166,                 1.2172,                0.22588,                 0.2766,                0.12357,                0.06646,                 1.6304,                 2.5711,                 1.2989,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.3581,                 1.4756,                  1.181,                0.13469,                0.34043,                0.10003,                0.05433,                 1.5896,                 2.9619,                  1.279,               0.001835,               0.001835,               0.001835
                     28,                 1.5788,                 1.4762,                 1.2229,                 0.5193,                0.45982,                0.42171,                0.23223,                 1.7622,                 2.3236,                 1.3954,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.4877,                 1.4612,                 1.2071,                0.67351,                 0.5268,                0.49579,                0.26365,                 1.7959,                 2.1289,                 1.4488,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.4863,                  1.444,                 1.2719,                0.60661,                 0.3617,                0.41537,                0.22211,                 2.0364,                 2.4939,                 1.6041,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.4245,                 1.3649,                 1.2609,                0.68236,                0.44681,                0.50998,                0.29377,                 1.7185,                 2.2246,                 1.3571,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.4664,                 1.3978,                 1.2501,                0.72472,                0.51064,                0.60199,                0.33835,                 1.6051,                 1.7944,                 1.2282,               0.001802,               0.001802,               0.001802
                     33,                 1.4796,                 1.3962,                 1.2637,                0.73877,                0.53191,                0.59328,                0.32067,                 1.7569,                  2.034,                 1.3231,              0.0017954,              0.0017954,              0.0017954
                     34,                  1.399,                 1.2897,                 1.2308,                 0.9559,                0.46139,                0.57255,                0.30621,                 1.7995,                 2.0943,                 1.3567,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.4171,                  1.255,                 1.2079,                0.73193,                0.51064,                  0.599,                 0.3249,                 1.6979,                 1.8285,                 1.3204,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.4376,                 1.2992,                 1.2085,                0.73321,                0.53191,                0.61859,                 0.3238,                 1.7295,                 1.7228,                 1.3448,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.4027,                 1.2269,                 1.1651,                0.87589,                0.46809,                0.60338,                0.33901,                 1.7087,                 1.7588,                 1.3528,               0.001769,               0.001769,               0.001769
                     38,                 1.2309,                 1.1591,                 1.1254,                0.88293,                0.48161,                0.55889,                0.33234,                 1.7111,                 1.8298,                 1.3593,              0.0017624,              0.0017624,              0.0017624
                     39,                  1.398,                 1.2114,                 1.2321,                0.87761,                0.46809,                0.52021,                0.29231,                 1.9161,                 1.9423,                 1.4909,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.4699,                 1.2672,                 1.2324,                  0.849,                0.47872,                0.53543,                0.30394,                 1.8965,                 1.7137,                 1.4365,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.4352,                 1.3001,                 1.2396,                 0.7462,                0.53191,                0.58116,                0.32054,                 1.7039,                 1.5749,                 1.2959,              0.0017426,              0.0017426,              0.0017426
                     42,                  1.308,                 1.2068,                 1.1224,                0.80988,                0.55319,                0.60462,                0.36549,                  1.566,                 1.6135,                 1.2161,               0.001736,               0.001736,               0.001736
                     43,                  1.406,                 1.2426,                 1.1407,                0.72816,                0.57447,                0.60892,                0.37072,                 1.5329,                 1.5293,                 1.1981,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.4019,                 1.1558,                 1.1476,                0.77362,                0.50902,                0.58992,                0.35231,                 1.5156,                  1.713,                 1.1935,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.3914,                 1.1758,                 1.1711,                0.91066,                0.46809,                0.57636,                0.34543,                 1.5447,                 1.6546,                 1.2013,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.2515,                 1.1493,                 1.1233,                0.73349,                0.51064,                0.57628,                0.33204,                 1.5802,                 1.5846,                 1.2251,              0.0017096,              0.0017096,              0.0017096
